"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","GUST","PRCP","TEMP","VISIB","WDSP"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-12","999.9"," 0.46","  79.1","  3.7","  1.3"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-13","999.9"," 0.00","  82.8","  4.1","  2.4"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-14","999.9"," 0.20","  81.2","  4.1","  2.8"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-15","999.9"," 0.00","  83.4","  4.1","  3.2"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-16","999.9","99.99","  82.1","  3.9","  3.1"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-17","999.9"," 0.02","  81.5","  3.9","  2.6"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-18","999.9"," 0.00","  83.6","  4.5","  3.4"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-19","999.9"," 0.01","  83.4","  4.0","  1.6"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-20","999.9"," 0.00","  83.0","  4.0","  1.6"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-21","999.9"," 0.04","  83.5","  4.0","  2.3"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-22","999.9"," 0.00","  83.8","  4.0","  4.0"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-23","999.9"," 0.00","  83.8","  4.0","  3.4"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-24","999.9"," 2.87","  82.0","  3.3","  4.2"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-25","999.9"," 1.14","  80.5","  3.4","  3.9"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-26","999.9"," 0.12","  81.0","  4.0","  2.4"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-27","999.9","99.99","  82.9","  3.9","  2.9"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-28","999.9"," 0.27","  80.1","  4.0","  0.9"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-02-29","999.9"," 0.87","  79.9","  3.6","  3.5"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-01","999.9"," 0.16","  81.5","  4.0","  3.2"
"96745099999","JAKARTA OBSERVATORY, ID","-6.1833333","106.8333333","8.0","2016-03-02","999.9"," 0.24","  81.6","  3.8","  1.5"
